TransactionID,CustomerID,CreditAgreementID,TransactionDate,TransactionAmount,TransactionTypeID
1,1,1,2023-10-17,71538,3
2,1,1,2023-12-10,78371,3
3,1,1,2023-12-13,13102,2
4,1,1,2023-12-18,191810,1
5,1,1,2023-12-23,457855,1
6,1,1,2023-12-30,45941,3
7,1,1,2023-12-30,318047,1
8,1,1,2023-12-30,355609,1
9,1,1,2023-12-30,992080,1
10,1,1,2023-12-30,98415,4
11,1,1,2023-12-30,85575,4
12,1,1,2023-12-30,18603,3
13,1,1,2023-12-30,19899,2
14,1,1,2023-12-30,920678,1
15,1,1,2023-12-30,46875,2
16,1,1,2023-12-30,219785,1
17,1,1,2023-12-30,98232,2
18,1,1,2023-12-30,466076,1
19,1,1,2023-12-30,95665,3
20,1,1,2023-12-30,51394,2
21,1,1,2023-12-30,413722,1
22,1,1,2023-12-30,82914,4
23,1,1,2023-12-30,64788,2
24,1,1,2023-12-30,53712,4
25,1,1,2023-12-30,69458,3
26,1,1,2023-12-30,37582,4
27,1,1,2023-12-30,76315,4
28,1,1,2023-12-30,49150,2
29,1,1,2023-12-30,29912,2
30,1,1,2023-12-30,94061,3
31,1,1,2023-12-30,14643,3
32,2,2,2023-11-21,85007,1
33,2,2,2023-12-24,28286,2
34,2,2,2023-12-28,76416,4
35,2,2,2023-12-29,49883,1
36,2,2,2023-12-29,46536,4
37,2,2,2023-12-30,3347,3
38,3,3,2023-12-25,96544,2
39,3,3,2023-12-25,11609,4
40,3,3,2023-12-29,35217,2
41,3,3,2023-12-30,51771,2
42,3,3,2023-12-30,66558,4
43,3,3,2023-12-30,105915,1
44,3,3,2023-12-30,81819,3
45,4,4,2023-12-15,227519,1
46,4,4,2023-12-22,81814,4
47,4,4,2023-12-24,443327,1
48,4,4,2023-12-27,64968,3
49,4,4,2023-12-30,56412,2
50,4,4,2023-12-30,11938,4
51,4,4,2023-12-30,564007,1
52,4,4,2023-12-30,21973,3
53,4,4,2023-12-30,85533,3
54,4,4,2023-12-30,385103,1
55,4,4,2023-12-30,72105,4
56,4,4,2023-12-30,23492,2
57,4,4,2023-12-30,71598,2
58,4,4,2023-12-30,334906,1
59,4,4,2023-12-30,22153,3
60,4,4,2023-12-30,94043,2
61,4,4,2023-12-30,14644,4
62,4,4,2023-12-30,166547,1
63,4,4,2023-12-30,30805,2
64,4,4,2023-12-30,27966,4
65,4,4,2023-12-30,65007,1
66,4,4,2023-12-30,80010,4
67,4,4,2023-12-30,66267,2
68,4,4,2023-12-30,20096,2
69,4,4,2023-12-30,18734,1
70,4,4,2023-12-30,14543,3
71,4,4,2023-12-30,4191,2
72,5,5,2022-12-25,374960,1
73,5,5,2023-09-30,628365,1
74,5,5,2023-12-14,1034482,1
75,5,5,2023-12-27,38291,3
76,5,5,2023-12-28,79767,3
77,5,5,2023-12-28,49850,4
78,5,5,2023-12-30,69223,4
79,5,5,2023-12-30,871297,1
80,5,5,2023-12-30,68425,3
81,5,5,2023-12-30,72912,2
82,5,5,2023-12-30,84193,4
83,5,5,2023-12-30,471963,1
84,5,5,2023-12-30,11266,3
85,5,5,2023-12-30,58615,3
86,5,5,2023-12-30,81874,4
87,5,5,2023-12-30,243522,1
88,5,5,2023-12-30,90656,4
89,5,5,2023-12-30,295813,1
90,5,5,2023-12-30,337948,1
91,5,5,2023-12-30,86506,1
92,5,5,2023-12-30,24103,3
93,5,5,2023-12-30,262032,1
94,5,5,2023-12-30,99263,1
95,6,6,2023-12-29,78843,2
96,6,6,2023-12-30,67924,4
97,6,6,2023-12-30,51324,2
98,6,6,2023-12-30,86465,2
99,6,6,2023-12-30,12386,4
100,6,6,2023-12-30,77403,1
101,6,6,2023-12-30,92799,3
102,6,6,2023-12-30,61716,4
103,6,6,2023-12-30,79912,3
104,6,6,2023-12-30,77268,1
105,6,6,2023-12-30,72656,1
106,6,6,2023-12-30,79031,1
107,6,6,2023-12-30,67948,3
108,6,6,2023-12-30,20949,2
109,6,6,2023-12-30,348,4
110,7,7,2023-12-26,67100,1
111,7,7,2023-12-28,260801,1
112,7,7,2023-12-30,83939,3
113,7,7,2023-12-30,37678,4
114,7,7,2023-12-30,87032,4
115,7,7,2023-12-30,83978,3
116,7,7,2023-12-30,365757,1
117,7,7,2023-12-30,472130,1
118,7,7,2023-12-30,230553,1
119,7,7,2023-12-30,75575,3
120,7,7,2023-12-30,32574,3
121,7,7,2023-12-30,93242,3
122,7,7,2023-12-30,32792,2
123,7,7,2023-12-30,27022,4
124,7,7,2023-12-30,23570,3
125,7,7,2023-12-30,436190,1
126,7,7,2023-12-30,11333,4
127,7,7,2023-12-30,79418,3
128,7,7,2023-12-30,63255,4
129,7,7,2023-12-30,17150,2
130,7,7,2023-12-30,355736,1
131,7,7,2023-12-30,83610,1
132,7,7,2023-12-30,122583,1
133,7,7,2023-12-30,14457,2
134,7,7,2023-12-30,11964,4
135,7,7,2023-12-30,269146,1
136,7,7,2023-12-30,30764,4
137,7,7,2023-12-30,69773,3
138,7,7,2023-12-30,79082,3
139,7,7,2023-12-30,285212,1
140,7,7,2023-12-30,94982,3
141,7,7,2023-12-30,80181,3
142,7,7,2023-12-30,98069,2
143,7,7,2023-12-30,73840,4
144,7,7,2023-12-30,16549,4
145,7,7,2023-12-30,19077,2
146,8,8,2023-09-09,83525,4
147,8,8,2023-12-22,66392,4
148,8,8,2023-12-30,28161,1
149,8,8,2023-12-30,19937,2
150,8,8,2023-12-30,8224,2
151,9,9,2023-10-18,222554,1
152,9,9,2023-10-20,66434,3
153,9,9,2023-11-07,166412,1
154,9,9,2023-11-12,79275,2
155,9,9,2023-11-27,58898,4
156,9,9,2023-12-08,81447,4
157,10,10,2023-07-19,23200,3
158,10,10,2023-08-12,82000,3
159,10,10,2023-12-23,23240,3
160,10,10,2023-12-30,80119,2
161,10,10,2023-12-30,40487,4
162,10,10,2023-12-30,40739,3
163,10,10,2023-12-30,24768,2
164,10,10,2023-12-30,4286,2
165,11,11,2023-12-29,81509,2
