CustomerID,CustomerTypeID,Name,DateOfBirth,RegistrationDate,TIN,ContactInfo
1,1,Мясников Аполлинарий Харламович,1968-09-02,,812924272093,8 (243) 753-54-51
2,1,Дементий Аверьянович Лаврентьев,1968-06-22,,626329562726,+7 776 978 60 56
3,1,Тамара Геннадьевна Колесникова,1987-02-01,,374616485578,+7 748 511 42 35
4,1,Данилова Нина Львовна,1991-11-25,,304188467110,8 (454) 725-20-79
5,1,Надежда Харитоновна Громова,2005-11-16,,611217115523,+7 (794) 950-9301
6,1,Филиппов Потап Вилорович,1993-05-08,,124233519627,+7 (672) 556-0506
7,1,Кира Эдуардовна Елисеева,1960-10-09,,631530738288,+7 184 631 9550
8,1,Новиков Григорий Владиславович,1965-09-07,,549824443599,8 (657) 633-63-81
9,1,Аникей Алексеевич Ковалев,1960-10-25,,033777803427,+7 (483) 824-55-84
10,1,Венедикт Трифонович Наумов,1980-07-07,,206602986901,+7 301 362 00 20
11,1,Измаил Ефремович Гаврилов,2003-03-22,,805850485512,+7 (894) 346-0636
12,1,Казаков Лонгин Ерофеевич,1987-07-06,,226604084274,+76916025001
13,1,ООО «Кононова Юдин»,2003-09-19,,103774784603,8 (976) 823-0323
14,1,РАО «Ширяев-Ковалев»,1977-01-04,,647214270739,8 (228) 321-1045
15,1,ОАО «Капустина»,1991-12-06,,417976118855,+74706356133
16,1,Крокус,2006-09-11,,926153731038,+7 (201) 541-13-85
17,1,Группа агропредприятий Ресурс,1962-12-12,,339001646231,+7 211 576 04 99
18,1,Кондратьева Инк,1963-09-19,,483168234101,+70937785770
19,1,ООО «Беспалова Гордеев»,1965-06-20,,467494795941,+70795174860
20,1,ООО «Вишняков»,1994-10-30,,316558092274,+73412075994
21,1,Славянск Эко,1981-02-14,,832057349087,+7 (225) 581-9559
22,1,РАО «Мартынова-Суханова»,1993-02-15,,511497976103,+7 (987) 839-22-45
23,1,АО «Агафонов»,1974-07-28,,504627247304,+7 912 420 34 39
24,1,Шашков Лтд,1998-04-09,,288726614611,8 (224) 340-78-78
25,1,ООО «Исаков»,1960-03-06,,116193376007,87058687558
26,1,ИП «Мишин Егорова»,1987-08-31,,571790770889,+7 751 917 3449
27,1,ОАО «Жукова-Рябова»,1973-08-27,,396890659584,+77352086005
28,1,ИП «Муравьева Субботина»,1993-10-09,,282091812367,87066974395
29,1,Цветкова и партнеры,2004-06-17,,076563250053,+7 018 033 20 01
30,1,РАО «Евсеев-Белозеров»,1998-04-15,,265639578060,+7 981 731 34 73
31,1,"ЗАО «Кулагина, Меркушева и Прохорова»",2005-10-26,,121804459056,8 (765) 496-44-65
32,1,ЗАО «Костин»,1966-12-26,,048235934270,8 648 628 36 17
33,1,Блинов Групп,1972-01-30,,298054350425,8 (505) 711-7508
34,1,"ЗАО «Моисеев, Козлов и Осипова»",1984-05-17,,882100674095,+70600626587
35,1,Бурова Лтд,1965-07-19,,426052405436,+7 442 368 7726
36,1,НПО «Овчинников-Филатова»,1961-04-15,,134609923244,8 (724) 385-1020
37,1,ОАО «Жданова Никифорова»,1986-11-19,,356747724679,+7 (309) 294-1199
38,1,РАО «Князев-Мухина»,1981-05-04,,458090469271,+71556698686
39,1,Трансмашхолдинг,1975-01-16,,369169505790,8 143 077 28 15
40,1,ЗАО «Лобанов Баранова»,1979-08-09,,029290935404,+7 (803) 197-71-03
41,1,"ООО «Давыдов, Белов и Одинцова»",1996-06-05,,199549877020,8 152 118 77 01
42,1,Елисеева Групп,1998-01-12,,332998879903,+7 (176) 208-50-27
43,1,НПО «Силина»,2000-12-06,,031920872557,8 (967) 674-9570
44,1,БелАЗ-24,1994-07-31,,737076495900,+7 212 584 1004
45,1,"ООО «Силин, Сорокина и Фомичева»",1965-01-16,,914568574181,+77676563682
46,1,"ООО «Киселева, Зимин и Новикова»",2000-11-16,,608798861835,+7 (691) 430-6002
47,1,АО «Симонов-Сазонов»,1994-11-24,,230789847676,8 (565) 849-5297
48,1,Металлсервис,1988-09-18,,637567916675,+7 763 728 72 45
49,1,ЗАО «Осипова»,1977-08-01,,384895597719,8 (927) 230-2957
50,1,ЗАО «Бобров»,1981-07-26,,745989617527,+7 (972) 950-52-52
51,1,ГК ТНС энерго,1979-02-23,,352865450628,8 (924) 913-78-32
52,1,"НПО «Орлов, Горбунов и Муравьев»",2000-07-26,,302171016845,8 021 705 72 93
53,1,ИП «Иванов Лазарев»,1974-10-09,,763074165264,+7 296 064 39 06
54,1,"РАО «Маслов, Трофимова и Брагина»",1980-09-28,,185054104658,8 055 215 7791
55,1,"РАО «Лаврентьева, Комаров и Белова»",1978-07-28,,582213753409,+7 (288) 660-6576
56,1,Крок инкорпорейтед,2000-12-25,,467415663409,+7 495 715 03 15
57,1,Астон,1986-12-18,,145557783383,+79467150261
58,1,Белозерова Лимитед,1999-01-29,,876065455500,8 972 481 8639
59,1,Титова Инкорпорэйтед,1974-10-09,,867587593603,8 (965) 626-81-14
60,1,ЗАО «Носков»,1975-02-21,,292119103754,88322051888
61,1,Виноградова Инк,2000-07-09,,292827549403,+7 094 401 4775
62,1,ООО «Белозерова Зиновьева»,1971-09-17,,367344866735,8 (478) 887-5567
63,1,ПК Борец,2004-10-09,,313580385577,+7 (857) 683-78-49
64,1,Морской терминал Тамань,1988-01-31,,530130911159,85690419256
65,1,ОАО «Устинов Маслова»,1980-12-01,,296639369645,8 995 349 0986
66,1,ЗАО «Кудряшова Ширяев»,1989-08-18,,375679307308,+7 702 976 9674
67,1,РАО «Панова»,1970-03-24,,582943639000,+7 774 086 3821
68,1,"АО «Галкина, Белоусов и Князева»",1995-03-05,,681799063509,+7 (409) 595-44-76
69,1,ООО «Данилов-Андреева»,1980-10-05,,172088305858,8 663 669 42 10
70,1,Дементьева Инкорпорэйтед,1998-12-05,,911229031820,+7 815 756 9604
71,1,ИП «Ковалева-Хохлов»,1969-05-18,,445537935163,8 (190) 370-6930
72,1,ЗАО «Егорова-Герасимов»,1988-04-19,,091394097806,+7 (693) 268-80-33
73,1,ООО «Сафонова Сергеев»,1979-05-08,,917548202374,+76730802535
74,1,Кононова Лтд,2000-10-30,,483341641812,8 (886) 307-57-91
75,1,Сидоров Групп,1965-12-16,,073076316195,82965902057
76,1,АО «Шубина Никонова»,1984-04-24,,501143870640,8 (113) 564-0442
77,1,ЗАО «Ситникова Горбачев»,1973-10-16,,144547861954,8 (446) 714-86-34
78,1,"ОАО «Крюков, Мамонтов и Владимиров»",1983-10-26,,466681460118,+7 (858) 187-09-19
79,1,"ОАО «Тарасова, Лихачев и Ларионова»",2001-01-31,,339544500281,+7 387 673 79 46
80,1,"НПО «Владимирова, Карпов и Соколова»",2001-01-17,,133666926377,+75950740104
81,1,Таркетт Рус (Tarkett),1987-05-27,,855958810706,+72295856930
82,1,"НПО «Филатова, Мясников и Селиверстова»",1966-08-15,,823784149190,8 211 833 6575
83,1,Новосибирскэнергосбыт,1976-07-09,,347302550222,8 (046) 127-8623
84,1,НПО «Муравьева Буров»,1978-02-10,,895626226316,8 711 014 85 39
85,1,Федосеев Лтд,2001-11-22,,128644081087,8 566 553 60 93
86,1,Аксенов Групп,1959-11-19,,697984313461,+77933463383
87,1,Григорьева Инкорпорэйтед,1971-12-16,,360449705429,+7 (231) 805-6195
88,1,РАО «Чернов Громова»,1964-03-25,,229330030061,+75939817136
89,1,МТС-банк,1975-11-22,,625029719396,88986268836
90,1,Маслов Лимитед,1985-07-28,,053656970698,+7 512 411 53 04
91,1,"АО «Носков, Ширяев и Калашников»",2004-11-24,,778708333559,8 (555) 022-0979
92,1,"АО «Лобанов, Савельев и Тимофеев»",1972-02-02,,201357402746,8 869 746 53 43
93,1,АО «Иванова Нестеров»,1978-11-21,,174185548391,8 (750) 168-03-79
94,1,ИП «Зайцев Терентьева»,1974-05-11,,666460199430,8 054 175 58 36
95,1,НПО «Маслова-Сидорова»,1968-09-11,,234076523115,+71227468981
96,1,РАО «Фомичева Селиверстов»,1962-03-11,,116817531908,+7 167 385 7127
97,1,Смирнов Инкорпорэйтед,1993-02-19,,183548314059,8 (892) 987-9183
98,1,ООО «Игнатова Шарапов»,1993-12-14,,171653260035,+7 (373) 244-41-83
99,1,ЗАО «Кабанов-Игнатова»,1986-05-09,,510403206036,8 349 315 6854
100,1,ОАО «Михеева»,1973-01-14,,183997069333,+7 170 139 1918
101,1,Жданов Лтд,1983-03-17,,688751407698,+7 (917) 436-23-20
102,1,Осипова Инкорпорэйтед,1985-05-12,,633168159666,8 (529) 398-7685
103,1,АО «Кабанов»,1985-05-23,,151391106070,+7 680 840 3056
104,1,"НПО «Гуляев, Фомина и Белякова»",1988-12-14,,799580533563,8 (188) 643-73-56
105,1,"АО «Сорокин, Зуева и Веселов»",1978-05-19,,537587301807,8 759 633 4094
